Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
ATLAS TRINCHA 319 4;001522;;;9;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
FITA VEDA ROSCA PRO 18MMX10M CX120 19.99.483;002734;Norton;Utilidades;9;UN;Ativo;39209990;
FUTURA ABSOLUTO PRM  CROMIO 3,6;001674;FUTURA;TINTA ACRILICA;9;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRTE AMARELO 900 ML;001952;FUTURA;TINTA ESMALTE ;9;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA SUPER RENDIMENTO STD BRANCO 3,6 LT;001211;FUTURA;TINTA ACRILICA;9;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
LONA PRETA 4X50 6KG FINA INFINITY;002550;;;9;UN;Ativo;39259090;
TIGRE ESPATULA PLAST LISA 2160 10CM PC 18.50.039;002687;TIGRE;;9;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
TIGRE ESPATULA PLAST LISA 2160-08;002688;TIGRE;;9;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
TIGRE TRINCHA STARTEC 915-2;002672;TIGRE;;9;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
TIGRE TRINCHA 919 2 SINTETICO PRETO PC 18.50.A69;002671;TIGRE;;9;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
ANJO PINTA DECK NAT. SEMIBRILHO 900 ML;001604;;;8;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS PALHA DE ACO N '1' AT90/60;001459;;;8;UN;Ativo;73231000;NÃO TRIBUTADO (CSOSN 400)
ATLAS TRINCHA 315  1/2;001438;;;8;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
FUTURA ECOLOGICO B.AGUA BRILHO BRANCO 3,6 LT;001421;FUTURA;TINTA ESMALTE ;8;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRILHO BRANCO 900 ML;001498;FUTURA;TINTA ESMALTE ;8;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA BRTE VERMELHO 900 ML;001951;FUTURA;TINTA ESMALTE ;8;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUNDO CINZA ANTICORROSIVO 900 ML;001508;FUTURA;Complementos e Preparação;8;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO AMARELO SEGURANC;002648;FUTURA;TINTA ESMALTE ;8;GL;Ativo;32081010;
FUTURA FUTURIT ESM SINT.FOSCO PRETO 3,6 LT SOLVENTE;001506;FUTURA;TINTA ESMALTE ;8;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ZARCAO 900 ML;001419;FUTURA;Complementos e Preparação;8;QT;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURIT ESM SINT.BRILHO PLATINA;002682;FUTURA;TINTA ESMALTE ;8;GL;Ativo;32081010;
MASTIFLEX VEDA CALHA ACRILICO POTE.500G;001378;;;8;UN;Ativo;32141010;TRIBUTADO (CSOSN 102)
TIGRE ROLO LA 23CM 1396 SINTETICA PC 18.50.529;002625;;;8;UN;Ativo;96034010;
ANJO STAIN CASA INCOLOR ACET. 900 ML;001608;;;7;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA NATURAL ACET. 900 ML;001610;;;7;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS DISCO ABRASIVO FLAP 115MM G120 OX ALUMIN AT24/120;001464;;;7;UN;Ativo;68053090;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA PVC DENTADA 10CM 151/10;001525;;;7;UN;Ativo;39269090;NÃO TRIBUTADO (CSOSN 400)
ATLAS PALHA DE ACO N '0' AT90/50;001458;;;7;UN;Ativo;73231000;NÃO TRIBUTADO (CSOSN 400)
ATLAS REFIL P/ PAD RECORTE AT751/35;001651;;;7;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
ATLAS ROLO DRYWALL LA '8' 23CM AT321/8;001259;;;7;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS ROLO RESIMAX 15 CM 339/15A;000174;;;7;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ATLAS ROLO RESINA / EPOXI 23CM PISOS AT339/23;001917;;;7;UN;Ativo;96034010;TRIBUTADO (CSOSN 102)
ATLAS TRINCHA 315  4;001445;;;7;UN;Ativo;96034090;TRIBUTADO (CSOSN 102)
FUTURA ECOLOGICO B.AGUA BRANCO FOSCO 3,6 LT;001540;FUTURA;TINTA ESMALTE ;7;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA PRETO FOSCO 900 ML;001503;FUTURA;TINTA ESMALTE ;7;QT;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO CINZA MEDIO;002566;FUTURA;TINTA ESMALTE ;7;QT;Ativo;32081010;
FUTURA FUTURIT ESM SINT.BRILHO CINZA MEDIO 3,6 LT SOLVENTE;001620;FUTURA;TINTA ESMALTE ;7;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA FUTURIT ESM SINT.BRILHO PRETO 3,6 LT SOLVENTE;001504;FUTURA;TINTA ESMALTE ;7;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
FUTURA MASSA ACRILICA 25 KG;001207;FUTURA;Complementos e Preparação;7;BD;Ativo;32141020;TRIBUTADO (CSOSN 102)
FUTURA PREMIUM EFEITO MARMORE 3,7KG;002702;FUTURA;Efeitos Decorativos;7;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
FUTURA ZARCAO LARANJA 3,6 LT;001303;FUTURA;Complementos e Preparação;7;GL;Ativo;32081010;NÃO TRIBUTADO (CSOSN 400)
MASSA ACRILICA;002681;;;7;GL;Ativo;32141020;
SUV ESM PRETO FOSCO 3,6 LT AGUA;001247;;;7;GL;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO LA 23CM 1391 NATURAL PC 18.50.534;002540;TIGRE;;7;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
TIGRE ROLO PRO MICROFIBRA 23CM 1338 PC 18.50.505;002626;;;7;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
ANJO STAIN CASA IPE ACET. 900ML;001609;;;6;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ANJO STAIN CASA NOGUEIRA ACET. 900ML;001605;;;6;QT;Ativo;32081020;TRIBUTADO (CSOSN 102)
ATLAS ESCOVA DE ACO ECONOMICA 3 FILEIRAS REF: AT1820/3;001457;;;6;UN;Ativo;96039000;TRIBUTADO (CSOSN 102)
ATLAS ESPATULA CABO MADEIRA ACO INOX 7,5CM 6155/12;001251;;;6;UN;Ativo;82055900;TRIBUTADO (CSOSN 102)
ATLAS ESTILETE AMARELO 175/2;000132;;;6;UN;Ativo;82119390;NÃO TRIBUTADO (CSOSN 400)
ATLAS GARFO GAIOLA S/R ACO 400/23SR;001351;;;6;UN;Ativo;73269090;TRIBUTADO (CSOSN 102)
ATLAS LUVA DE ALGODAO PIGMENTADA M AT1303M;001647;;;6;UN;Ativo;61161000;TRIBUTADO (CSOSN 102)
ATLAS PORTA-TRINCHA P/ PROLON. AT179;001650;;;6;UN;Ativo;39269090;TRIBUTADO (CSOSN 102)
ATLAS ROLO RESIMAX 23CM 339/5A;000173;;;6;UN;Ativo;96034010;NÃO TRIBUTADO (CSOSN 400)
CORAL MASSA CORRIDA PVA BALDE 5,7 KG;001973;Coral;Complementos e Preparação;6;GL;Ativo;32141020;TRIBUTADO (CSOSN 102)
CORAL RENOVA TETO BANHEIRO & COZINHA BR 900LT;000640;Coral;TINTA ACRILICA;6;QT;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
CORTEX ECON. BRANCO 16 LT;002463;FUTURA;TINTA ACRILICA;6;BD;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
ECOLOGICO B.AGUA BRILHO BRANCO;002678;;;6;QT;Ativo;32091020;
ECOLOGICO B.AGUA BRILHO PRETO;002679;;;6;QT;Ativo;32091020;
