   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ATLAS EXTENSOR FIBRA/ALUMINIO 4M AT18004;001660;7896380104307;Ativo;327,1300; por UN
;ATLAS EXTRA PELE DE CARNEIRO 23CM 322/22;001431;7896380150182;Ativo;79,1000; por UN
;ATLAS FIBRA ABRASIVA ACABAMENTOS 115X290MM AT95/10;001333;7896003895032;Ativo;11,0000; por UN
;ATLAS FIBRA ABRASIVA FERRUGEM 115X290M AT95/30;001331;7896003895056;Ativo;14,3800; por UN
;ATLAS FIBRA ABRASIVA MADEIRA 115X290MM AT95/20;001332;7896003895049;Ativo;15,0800; por UN
;ATLAS FIBRA ABRASIVA POS-OBRA 115X290MM AT95/40;001330;7896003895063;Ativo;13,3500; por UN
;ATLAS FITA ANTIDERRAPANTE PRETA;000166;SEM GTIN;Ativo;1,0000; por UN
;ATLAS FITA ANTIDERRAPANTE TRANSPARENTE;000167;7896380101863;Ativo;2,0000; por UN
;ATLAS FITA SINALIZACAO;000168;SEM GTIN;Ativo;1,0000; por UN
;ATLAS FITA SINALIZACAO PLASTICA 65MMX150M;000222;7896380153022;Ativo;19,3000; por UN
;ATLAS FITA TELADA PARA DRYWALL 45M;000190;SEM GTIN;Ativo;1,0000; por UN
;ATLAS FITA TELADA REPAROS 100MMX20M;001361;7896380105205;Ativo;22,1500; por UN
;ATLAS FITA TELADA REPAROS 50MMX45M;001362;7896380104376;Ativo;23,4300; por UN
;ATLAS FITA VEDA ROSCA 12MMX10M;000179;SEM GTIN;Ativo;1,0000; por UN
;ATLAS GARFO BUCHA C/ROSCA ACO 330/23R;000274;7896380192038;Ativo;26,0100; por UN
;ATLAS GARFO BUCHA S/ROSCA ACO 330/23SR;001429;7896380192045;Ativo;16,5900; por UN
;ATLAS GARFO COMFORT GAIOLA ACO 400/23;001865;7896380192502;Ativo;31,9900; por UN
;ATLAS GARFO GAIOLA C/ROSCA 400/23R;000126;7896380194650;Ativo;23,6000; por UN
;ATLAS GARFO GAIOLA S/R ACO 400/23SR;001351;7896380192519;Ativo;19,3600; por UN
;ATLAS GARFO GAIOLA 5 ARAMES 23CM AT550/23R;000285;7896380195428;Ativo;48,0500; por UN
;ATLAS GOL PELE DE CARN 23CM 923/19;001471;7896380191031;Ativo;55,5600; por UN
;ATLAS KIT 3 PECAS REF:1001;000163;SEM GTIN;Ativo;1,0000; por UN
;ATLAS KIT 3 PECAS RENDEPLUS 2004;000273;7896380100576;Ativo;52,9500; por UN
;ATLAS KIT 5 PECAS LACARNEIRO 1002;000272;SEM GTIN;Ativo;1,0000; por UN
;ATLAS KIT 5 PECAS REF:AT1002;000162;SEM GTIN;Ativo;1,0000; por UN
;ATLAS LIXA DISCO ABRASIVO DE PAPEL 180 GRAO 120;001815;7896380109821;Ativo;6,0500; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO '120';001515;SEM GTIN;Ativo;6,6000; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO '150';001516;7896380108244;Ativo;6,6000; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO '180';001514;7896380108251;Ativo;6,6000; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO '220';001513;7896380108268;Ativo;6,6000; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO 80 ( UNIDADE );001552;SEM GTIN;Ativo;6,8200; por UN
;ATLAS LIXA DISCO ABRASIVO 225MM GRAO '80' 5PCS;001517;7896003895896;Ativo;3.414,0000; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 120 AT13/120;000195;7896380108084;Ativo;5,2400; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 150 AT13/150;000089;7896380108091;Ativo;4,9200; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 180 AT13/180;000090;7896380108107;Ativo;4,9200; por UN
;ATLAS LIXA TELADA DISCO 150 GRAO 220 AT13/220;000091;7896380108114;Ativo;5,2400; por UN
