   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ANJO ESM. STD TOM PLUS MARFIM BR 900 ML;001728;7899027786447;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS MARROM CONHAQUE BR 3,6 GL;001723;7899027786218;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS MARROM CONHAQUE BR 900 ML;001724;7899027786010;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS MARROM TABACO BR 3,6 GL;001725;7899027791939;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS MARROM TABACO BR 900 ML;001726;7899027792134;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS PLATINA BR 3,6 GL;001721;7899027786195;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS PLATINA BR 900 ML;001722;7899027785990;Inativo;1,0000; por QT
;ANJO ESM. STD TOM PLUS PRETO BR 3,6 L;001706;7899027786133;Inativo;1,0000; por UN
;ANJO ESM. STD TOM PLUS PRETO BR 900 ML;001710;7899027785839;Inativo;1,0000; por QT
;ANJO FOSCO TOTAL BRANCO 18 LT;001900;7899027713849;Inativo;1,0000; por UN
;ANJO FOSCO TOTAL BRANCO 3,6 LT;001901;7899027714051;Inativo;1,0000; por UN
;ANJO FUNDO NIVELADOR BRANCO 3,6 GL;001737;7899027701426;Inativo;1,0000; por UN
;ANJO FUNDO NIVELADOR BRANCO 900 ML;001738;7899027701402;Inativo;1,0000; por QT
;ANJO FUNDO PREPARADOR PAREDE 18 LT;001707;7898025469956;Inativo;1,0000; por UN
;ANJO FUNDO PREPARADOR PAREDE 3,6 LT;001708;7898025465699;Inativo;1,0000; por UN
;ANJO GALVPRO 3,6 GL;001739;7899917147365;Inativo;1,0000; por UN
;ANJO GALVPRO 900 ML;001740;7899917147341;Inativo;1,0000; por QT
;ANJO IMPERMEAB. EMBORRACHADO P/ PAREDE 18 KG BALDE;001814;7899917138646;Inativo;1,0000; por UN
;ANJO MAIS ACR. PRE. BRANCO FOSCA 18 LT;001686;7898530467539;Ativo;429,9900; por LA
;ANJO MAIS ACR. PRE. BRANCO FOSCA 3,6 LT;001687;7898530467515;Ativo;164,9900; por GL
;ANJO MAIS ACR. PRE. GELO FOSCA 3,6 LT;001956;7898530468031;Inativo;1,0000; por UN
